merchant_id,merchant_category,merchant_country,merchant_risk_level,mcc_code,merchant_since,chargeback_rate,is_high_risk_jurisdiction,merchant_city,annual_txn_volume
1,Fuel,SE,LOW,5541,2020-04-09,0.002207,0,Malmö,4926
2,Offshore Services,SG,HIGH,6099,2019-08-16,0.249863,0,Tampines,3703
3,Crypto,BR,HIGH,6051,2016-10-15,0.222026,0,Brasília,3008
4,Entertainment,DE,MEDIUM,7922,2015-06-30,0.037339,0,Hamburg,12547
5,Real Estate,GB,LOW,6512,2015-08-20,0.007483,0,Manchester,35909
6,Healthcare,DE,LOW,8099,2018-04-17,0.007249,0,Hamburg,47458
7,Clothing,AU,LOW,5651,2024-10-13,0.006388,0,Melbourne,20575
8,Travel,IN,LOW,4722,2023-02-21,0.001902,0,Delhi,36952
9,Healthcare,ZA,LOW,8099,2016-03-02,0.00937,0,,3391
10,Healthcare,US,LOW,8099,2023-06-03,0.008868,0,Los Angeles,38150
11,Gambling,US,HIGH,7995,2015-01-12,0.212349,0,Chicago,3295
12,Gambling,US,HIGH,7995,2017-12-10,0.099521,0,Chicago,4481
13,Telecom,US,MEDIUM,4813,2018-03-21,0.032925,0,New York,3164
14,Gambling,IN,MEDIUM,7995,2015-03-05,0.043576,0,Delhi,6437
15,Gambling,AU,HIGH,7995,2021-01-11,0.062289,0,Sydney,1327
16,Healthcare,US,LOW,8099,2022-12-18,0.009289,0,Chicago,43713
17,Fuel,US,LOW,5541,2020-06-20,0.004426,0,Chicago,2620
18,Gambling,FR,MEDIUM,7995,2021-02-21,0.028353,0,Marseille,5798
19,Digital Goods,BR,HIGH,5815,2022-05-05,0.09413,0,São Paulo,4634
20,Travel,US,LOW,4722,2020-03-28,0.001553,0,Los Angeles,43405
21,Gambling,AU,HIGH,7995,2016-12-24,0.056192,0,Brisbane,4853
22,Grocery,IN,LOW,5411,2024-11-13,0.004009,0,Delhi,33874
23,Education,NG,HIGH,8220,2021-07-30,0.212357,0,Abuja,4618
24,Crypto,NG,HIGH,6051,2022-03-03,0.205058,0,Lagos,1647
25,Healthcare,US,MEDIUM,8099,2016-08-25,0.047752,0,Los Angeles,13626
26,Real Estate,IN,LOW,6512,2024-02-18,0.00754,0,Bangalore,42595
27,Insurance,IN,MEDIUM,6311,2022-12-02,0.020626,0,Delhi,17874
28,Restaurants,CA,LOW,5812,2024-12-30,0.001456,0,Toronto,47325
29,Utilities,GB,LOW,4900,2021-02-04,0.003135,0,London,39763
30,Entertainment,FR,LOW,7922,2023-01-11,0.002398,0,Lyon,28697
31,Insurance,FR,MEDIUM,6311,2017-08-10,0.023799,0,Lyon,5238
32,Restaurants,DE,LOW,5812,2016-12-16,0.008631,0,Berlin,10003
33,Crypto,US,HIGH,6051,2020-08-04,0.180771,0,New York,3033
34,Travel,IN,MEDIUM,4722,2018-06-06,0.026317,0,Bangalore,15965
35,Insurance,CA,LOW,6311,2019-03-03,0.002024,0,Vancouver,7802
36,Digital Goods,US,HIGH,5815,2023-11-04,0.055359,0,Los Angeles,3007
37,Fuel,GB,MEDIUM,5541,2021-12-23,0.048172,0,London,9936
38,Gambling,SG,MEDIUM,7995,2017-02-15,0.013738,0,Tampines,1280
39,Insurance,FR,LOW,6311,2017-01-07,0.004782,0,Paris,13182
40,Education,GB,HIGH,8220,2022-08-07,0.220804,0,Manchester,4319
41,Restaurants,ZA,MEDIUM,5812,2018-01-11,0.03246,0,Cape Town,18802
42,Utilities,JP,MEDIUM,4900,2022-06-07,0.047126,0,Osaka,3752
43,Telecom,US,LOW,4813,2020-08-11,0.005782,0,New York,47730
44,Digital Goods,FR,HIGH,5815,2015-10-24,0.13728,0,Paris,3929
45,Digital Goods,IN,MEDIUM,5815,2016-06-17,0.037637,0,Bangalore,13397
46,Telecom,FR,LOW,4813,2024-02-19,0.00769,0,Paris,47434
47,Gambling,BR,HIGH,7995,2017-01-15,0.138328,0,São Paulo,3441
48,Gambling,US,HIGH,7995,2016-07-17,0.061218,0,New York,3250
49,Clothing,CA,LOW,5651,2015-11-24,0.009681,0,Toronto,6115
50,Offshore Services,DE,MEDIUM,6099,2021-08-26,0.013806,0,Hamburg,15715
51,Insurance,AE,LOW,6311,2022-04-20,0.003735,1,Dubai,18419
52,Healthcare,DE,MEDIUM,8099,2019-08-05,0.029305,0,Hamburg,13226
53,Electronics,US,LOW,5732,2018-08-26,0.00337,0,Chicago,31629
54,Digital Goods,US,HIGH,5815,2021-07-24,0.100066,0,New York,2670
55,Clothing,JP,LOW,5651,2015-03-30,0.006228,0,Osaka,12434
56,Clothing,IN,LOW,5651,2016-03-09,,0,Bangalore,47884
